dates,gender,0
2020-03-11,unknown,3392
2020-03-12,female,12426
2020-03-12,male,36242
2020-03-12,unknown,2664
2020-03-13,female,10676
2020-03-13,male,29234
2020-03-13,unknown,3433
2020-03-14,female,12303
2020-03-14,male,26157
2020-03-14,unknown,5779
2020-03-15,female,9799
2020-03-15,male,21948
2020-03-15,unknown,4393
2020-03-16,female,7164
2020-03-16,male,20432
2020-03-16,unknown,1885
2020-03-17,female,5891
2020-03-17,male,16656
2020-03-17,unknown,1784
2020-03-18,female,8157
2020-03-18,male,19716
2020-03-18,unknown,2623
2020-03-19,female,5039
2020-03-19,male,14101
2020-03-19,unknown,1702
2020-03-20,female,8109
2020-03-20,male,19953
2020-03-20,unknown,3265
2020-03-21,female,9082
2020-03-21,male,18262
2020-03-21,unknown,4368
2020-03-22,female,5532
2020-03-22,male,12160
2020-03-22,unknown,2199
2020-03-23,female,799
2020-03-23,male,2986
2020-03-23,unknown,214
2020-03-24,female,5336
2020-03-24,male,13426
2020-03-24,unknown,2101
2020-03-25,female,2844
2020-03-25,male,8350
2020-03-25,unknown,872
2020-03-26,female,5791
2020-03-26,male,13901
2020-03-26,unknown,2304
2020-03-27,female,7145
2020-03-27,male,16144
2020-03-27,unknown,3215
2020-03-28,female,2182
2020-03-28,male,5935
2020-03-28,unknown,754
2020-03-29,female,2175
2020-03-29,male,6621
2020-03-29,unknown,850
2020-03-30,female,3706
2020-03-30,male,10138
2020-03-30,unknown,1197
2020-03-31,female,3886
2020-03-31,male,10006
2020-03-31,unknown,1104
2020-04-01,female,5513
2020-04-01,male,12984
2020-04-01,unknown,1866
2020-04-02,female,5098
2020-04-02,male,12076
2020-04-02,unknown,1838
2020-04-03,female,2603
2020-04-03,male,7850
2020-04-03,unknown,856
2020-04-04,female,8031
2020-04-04,male,16910
2020-04-04,unknown,3926
2020-04-05,female,7463
2020-04-05,male,14640
2020-04-05,unknown,3652
2020-04-06,female,7029
2020-04-06,male,14844
2020-04-06,unknown,2787
2020-04-07,female,6653
2020-04-07,male,14549
2020-04-07,unknown,2444
2020-04-08,female,5665
2020-04-08,male,13153
2020-04-08,unknown,1926
2020-04-09,female,3632
2020-04-09,male,9457
2020-04-09,unknown,1103
2020-04-10,female,4213
2020-04-10,male,10759
2020-04-10,unknown,1304
2020-04-11,female,9904
2020-04-11,male,18657
2020-04-11,unknown,4581
2020-04-12,female,9090
2020-04-12,male,17227
2020-04-12,unknown,5247
2020-04-13,female,1720
2020-04-13,male,5144
2020-04-13,unknown,933
2020-04-14,female,6867
2020-04-14,male,15419
2020-04-14,unknown,2997
2020-04-15,female,6231
2020-04-15,male,13841
2020-04-15,unknown,2116
2020-04-16,female,5591
2020-04-16,male,12376
2020-04-16,unknown,1603
2020-04-17,female,5180
2020-04-17,male,12103
2020-04-17,unknown,1610
2020-04-18,female,4289
2020-04-18,male,10102
2020-04-18,unknown,1518
2020-04-19,female,14365
2020-04-19,male,24578
2020-04-19,unknown,8106
2020-04-20,female,6051
2020-04-20,male,13613
2020-04-20,unknown,2218
2020-04-21,female,4591
2020-04-21,male,11078
2020-04-21,unknown,1381
2020-04-22,female,6706
2020-04-22,male,14863
2020-04-22,unknown,2214
2020-04-23,female,5151
2020-04-23,male,12372
2020-04-23,unknown,1602
2020-04-24,female,3089
2020-04-24,male,8722
2020-04-24,unknown,799
2020-04-25,female,18215
2020-04-25,male,30865
2020-04-25,unknown,9818
2020-04-26,female,2501
2020-04-26,male,6174
2020-04-26,unknown,911
2020-04-27,female,4663
2020-04-27,male,11780
2020-04-27,unknown,1352
2020-04-28,female,11930
2020-04-28,male,22762
2020-04-28,unknown,4927
2020-04-29,female,6078
2020-04-29,male,13911
2020-04-29,unknown,1664
2020-04-30,female,3700
2020-04-30,male,9815
2020-04-30,unknown,1027
